,0
191,https://1xbet.whoscored.com/Matches/1485448/Live/England-Premier-League-2020-2021-West-Ham-Brighton
192,https://1xbet.whoscored.com/Matches/1485532/Live/England-Premier-League-2020-2021-Newcastle-United-West-Ham
193,https://1xbet.whoscored.com/Matches/1485297/Live/England-Premier-League-2020-2021-Leeds-Arsenal
194,https://1xbet.whoscored.com/Matches/1485251/Live/England-Premier-League-2020-2021-Aston-Villa-Southampton
195,https://1xbet.whoscored.com/Matches/1485412/Live/England-Premier-League-2020-2021-Leicester-Sheffield-United
196,https://1xbet.whoscored.com/Matches/1485559/Live/England-Premier-League-2020-2021-Liverpool-Crystal-Palace
197,https://1xbet.whoscored.com/Matches/1485193/Live/England-Premier-League-2020-2021-Sheffield-United-Wolverhampton-Wanderers
198,https://1xbet.whoscored.com/Matches/1485443/Live/England-Premier-League-2020-2021-Sheffield-United-Aston-Villa
199,https://1xbet.whoscored.com/Matches/1485514/Live/England-Premier-League-2020-2021-West-Bromwich-Albion-Southampton
200,https://1xbet.whoscored.com/Matches/1485256/Live/England-Premier-League-2020-2021-Aston-Villa-Newcastle-United
201,https://1xbet.whoscored.com/Matches/1485477/Live/England-Premier-League-2020-2021-Crystal-Palace-Manchester-City
202,https://1xbet.whoscored.com/Matches/1485378/Live/England-Premier-League-2020-2021-Leeds-Crystal-Palace
203,https://1xbet.whoscored.com/Matches/1485246/Live/England-Premier-League-2020-2021-Leicester-Fulham
204,https://1xbet.whoscored.com/Matches/1485338/Live/England-Premier-League-2020-2021-Arsenal-Crystal-Palace
205,https://1xbet.whoscored.com/Matches/1485381/Live/England-Premier-League-2020-2021-Liverpool-Manchester-City
206,https://1xbet.whoscored.com/Matches/1485292/Live/England-Premier-League-2020-2021-Southampton-Sheffield-United
207,https://1xbet.whoscored.com/Matches/1485430/Live/England-Premier-League-2020-2021-Burnley-Leicester
208,https://1xbet.whoscored.com/Matches/1485392/Live/England-Premier-League-2020-2021-West-Ham-Burnley
209,https://1xbet.whoscored.com/Matches/1485271/Live/England-Premier-League-2020-2021-Arsenal-Aston-Villa
210,https://1xbet.whoscored.com/Matches/1485409/Live/England-Premier-League-2020-2021-Leeds-Chelsea
211,https://1xbet.whoscored.com/Matches/1485453/Live/England-Premier-League-2020-2021-Tottenham-Leicester
212,https://1xbet.whoscored.com/Matches/1485301/Live/England-Premier-League-2020-2021-Manchester-United-West-Bromwich-Albion
213,https://1xbet.whoscored.com/Matches/1485537/Live/England-Premier-League-2020-2021-Crystal-Palace-Arsenal
214,https://1xbet.whoscored.com/Matches/1485231/Live/England-Premier-League-2020-2021-Sheffield-United-Fulham
215,https://1xbet.whoscored.com/Matches/1485248/Live/England-Premier-League-2020-2021-Manchester-City-Burnley
216,https://1xbet.whoscored.com/Matches/1485520/Live/England-Premier-League-2020-2021-Aston-Villa-Manchester-City
217,https://1xbet.whoscored.com/Matches/1485288/Live/England-Premier-League-2020-2021-Manchester-United-Manchester-City
218,https://1xbet.whoscored.com/Matches/1485197/Live/England-Premier-League-2020-2021-Everton-West-Bromwich-Albion
219,https://1xbet.whoscored.com/Matches/1485322/Live/England-Premier-League-2020-2021-Everton-Newcastle-United
220,https://1xbet.whoscored.com/Matches/1485426/Live/England-Premier-League-2020-2021-West-Ham-Sheffield-United
221,https://1xbet.whoscored.com/Matches/1485209/Live/England-Premier-League-2020-2021-Manchester-City-Leicester
222,https://1xbet.whoscored.com/Matches/1485212/Live/England-Premier-League-2020-2021-West-Bromwich-Albion-Chelsea
223,https://1xbet.whoscored.com/Matches/1485304/Live/England-Premier-League-2020-2021-Leicester-Everton
224,https://1xbet.whoscored.com/Matches/1485344/Live/England-Premier-League-2020-2021-Fulham-Manchester-United
225,https://1xbet.whoscored.com/Matches/1485351/Live/England-Premier-League-2020-2021-Sheffield-United-West-Bromwich-Albion
226,https://1xbet.whoscored.com/Matches/1485200/Live/England-Premier-League-2020-2021-Manchester-United-Crystal-Palace
227,https://1xbet.whoscored.com/Matches/1485259/Live/England-Premier-League-2020-2021-Liverpool-West-Ham
228,https://1xbet.whoscored.com/Matches/1485512/Live/England-Premier-League-2020-2021-Tottenham-Manchester-United
229,https://1xbet.whoscored.com/Matches/1485383/Live/England-Premier-League-2020-2021-Liverpool-Manchester-United
230,https://1xbet.whoscored.com/Matches/1485457/Live/England-Premier-League-2020-2021-Arsenal-Chelsea
231,https://1xbet.whoscored.com/Matches/1485262/Live/England-Premier-League-2020-2021-Chelsea-Leeds
232,https://1xbet.whoscored.com/Matches/1485536/Live/England-Premier-League-2020-2021-Wolverhampton-Wanderers-Sheffield-United
233,https://1xbet.whoscored.com/Matches/1485400/Live/England-Premier-League-2020-2021-Crystal-Palace-West-Bromwich-Albion
234,https://1xbet.whoscored.com/Matches/1485310/Live/England-Premier-League-2020-2021-Wolverhampton-Wanderers-Chelsea
235,https://1xbet.whoscored.com/Matches/1485298/Live/England-Premier-League-2020-2021-Aston-Villa-Burnley
236,https://1xbet.whoscored.com/Matches/1485238/Live/England-Premier-League-2020-2021-Brighton-Liverpool
237,https://1xbet.whoscored.com/Matches/1485450/Live/England-Premier-League-2020-2021-Brighton-Arsenal
238,https://1xbet.whoscored.com/Matches/1485232/Live/England-Premier-League-2020-2021-Tottenham-West-Ham
239,https://1xbet.whoscored.com/Matches/1485224/Live/England-Premier-League-2020-2021-Chelsea-Southampton
240,https://1xbet.whoscored.com/Matches/1485480/Live/England-Premier-League-2020-2021-Aston-Villa-Fulham
241,https://1xbet.whoscored.com/Matches/1485429/Live/England-Premier-League-2020-2021-Arsenal-Manchester-City
242,https://1xbet.whoscored.com/Matches/1485471/Live/England-Premier-League-2020-2021-Brighton-Leeds
243,https://1xbet.whoscored.com/Matches/1485307/Live/England-Premier-League-2020-2021-Tottenham-Manchester-City
244,https://1xbet.whoscored.com/Matches/1485415/Live/England-Premier-League-2020-2021-Manchester-United-West-Ham
245,https://1xbet.whoscored.com/Matches/1485496/Live/England-Premier-League-2020-2021-Wolverhampton-Wanderers-West-Ham
246,https://1xbet.whoscored.com/Matches/1485416/Live/England-Premier-League-2020-2021-Newcastle-United-Leeds
247,https://1xbet.whoscored.com/Matches/1485343/Live/England-Premier-League-2020-2021-Everton-Southampton
248,https://1xbet.whoscored.com/Matches/1485252/Live/England-Premier-League-2020-2021-West-Bromwich-Albion-Sheffield-United
249,https://1xbet.whoscored.com/Matches/1485202/Live/England-Premier-League-2020-2021-Southampton-Tottenham
250,https://1xbet.whoscored.com/Matches/1485481/Live/England-Premier-League-2020-2021-Manchester-United-Liverpool
251,https://1xbet.whoscored.com/Matches/1485228/Live/England-Premier-League-2020-2021-Leicester-Aston-Villa
252,https://1xbet.whoscored.com/Matches/1485518/Live/England-Premier-League-2020-2021-Arsenal-Fulham
253,https://1xbet.whoscored.com/Matches/1485190/Live/England-Premier-League-2020-2021-West-Bromwich-Albion-Leicester
254,https://1xbet.whoscored.com/Matches/1485295/Live/England-Premier-League-2020-2021-Fulham-Everton
