,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,sub
8,Kasper Schmeichel,14,Leicester,34,", GK",38,3420,0,0.1,27.2,75.4,0,6.5,0,6.72,0
9,Chris Wood,184,Burnley,29,", FW",29,2446,1,0.7,14.4,63,0,0.1,0,6.72,3
0,Martin Dúbravka,23,Newcastle,32,", GK",38,3420,0,0,25.5,50.6,0,7.9,0,6.72,0
1,Steve Cook,183,Bournemouth,30,", D(C)",28,2430,0,0.1,43.8,79.2,0,2.7,0,6.72,1
2,Dean Henderson,163,Sheff Utd,24,", GK",36,3240,0,0,25.9,36.8,0,7.4,0,6.72,0
3,Isaac Hayden,23,Newcastle,26,", D(C),DMC",26,2226,2,0.5,27.6,79,0.2,0.6,0,6.72,3
4,Craig Dawson,27,Watford,31,", D(CR)",26,2361,0,0.2,32.3,77.5,0,3,0,6.72,3
5,Ismaila Sarr,27,Watford,23,", AM(LR),FW",22,2030,4,0.9,17.6,81.5,0.6,0.3,0,6.71,6
6,Yves Bissouma,211,Brighton,25,", M(C)",15,1263,0,0.2,28.1,85,0,1.6,0,6.71,7
7,Alex McCarthy,18,Southampton,31,", GK",28,2520,0,0,26.6,51.5,0,7.2,0,6.71,0
8,Victor Lindelöf,32,Man Utd,27,", D(CR)",35,3124,0,0.1,59.8,86.5,0,2.1,0,6.71,0
9,Tanguy Ndombele,30,Tottenham,24,", M(C)",12,1011,2,0.6,30.1,85.6,0.1,0.9,0,6.71,9
0,Jefferson Lerma,183,Bournemouth,26,", D(R),DMC",31,2709,2,0.4,42.4,78.7,0,2.9,0,6.70,2
1,Ilkay Gündogan,167,Man City,30,", M(C)",21,2017,1,1.1,63,91.9,0.3,3.4,0,6.70,10
2,John Lundstram,163,Sheff Utd,27,", DMC",26,2456,3,0.6,34.6,82.7,0.3,2.5,0.1,6.70,8
3,Christian Kabasele,27,Watford,30,", D(C)",26,2253,2,0.2,24.8,72.7,0,2.2,0,6.70,1
4,Miguel Almirón,23,Newcastle,27,", AM(CLR),FW",35,3034,2,0.9,23,80.2,0.2,0.6,0.1,6.70,1
5,Jamaal Lascelles,23,Newcastle,27,", D(C)",24,2079,0,0.1,35.3,79.8,0,2.2,0,6.70,0
6,Conor Hourihane,24,Aston Villa,30,", M(C)",18,1539,5,1.4,22.7,82.7,1,0.7,0,6.69,9
7,Aaron Ramsdale,183,Bournemouth,23,", GK",37,3330,1,0.1,25.5,52,0,5.5,0,6.69,0
8,Mattéo Guendouzi,13,Arsenal,22,", M(C)",19,1748,1,0.5,48,88.4,0,2.9,0.1,6.69,5
9,Gary Cahill,162,Crystal Palace,35,", D(C)",25,2168,1,0.1,40.2,84.9,0,2.9,0,6.69,0
