,player_name,team_number,team_name,age,position,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Goals,Yel,Red,SpG,AerialsWon,MoM,Dribble,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG
149,Christian Pulisic,15,Chelsea,25," M(CLR),FW  ",18(9),1738,2,0.9,24.5,82.9,0.2,0.4,0,6.74,4,2,0,1.6,0.7,2,1.8,1.2,0.1,1.1,2.5,0.7,0.4,0.5,0,0.3,0.5,0.1,0
150,Marc Albrighton,14,Leicester,34," D(R),M(LR)  ",17(14),1744,5,1.2,24.2,73.3,0.7,1.3,0,6.74,1,2,0,0.7,0.3,2,1.2,0.6,0.1,0.9,1.1,1.1,0.5,0.3,0.1,0.6,0.9,0.1,0
151,Çaglar Söyüncü,14,Leicester,27, D(C)  ,19(4),1816,0,0.3,60.1,88,0.2,2.1,0,6.74,1,2,0,0.4,2.7,0,0.2,0.7,0,0.2,0.3,1.2,1.2,0.8,0.6,3.4,0.6,0.4,0
152,Alphonse Areola,170,Fulham,30, GK  ,36,3240,0,0,23.3,68.7,0,4.4,0,6.74,0,2,0,0,0.4,1,0,0.1,0,0,0,0,0,0,0,1.1,0.1,0,0
153,Sam Johnstone,175,WBA,30, GK  ,37,3330,1,0,29.9,43.2,0,8.4,0,6.74,0,1,0,0,0.2,2,0,0.1,0,0,0,0,0.1,0,0,1,0,0,0
154,Alisson Becker,26,Liverpool,31, GK  ,33,2970,0,0,29.9,84.6,0,3.2,0,6.73,1,1,0,0,0.4,0,0.1,0.2,0,0,0,0.1,0.1,0,0,1.3,0,0,0
155,Granit Xhaka,13,Arsenal,31," D(L),M(C)  ",29(2),2522,2,0.5,70.6,90.2,0.1,4.2,0.1,6.73,1,7,1,0.7,1.3,0,0.3,1.2,0,0.4,0.6,1.6,0.8,1.3,0,1.2,0.9,0.2,0
156,Tosin Adarabioyo,170,Fulham,26, D(CR)  ,33,2954,0,0.2,57.7,86.2,0,3.6,0,6.73,0,1,0,0.5,2.5,0,0.3,0.2,0.1,0.2,0.4,1.1,1.3,0.5,0.8,5.8,0.6,0.6,1
157,Angelo Ogbonna,29,West Ham,35, D(C)  ,28,2493,0,0.1,36.4,81.3,0,1.8,0,6.73,3,5,0,0.5,2.3,1,0.1,0.3,0,0.2,0.1,0.9,1.1,1,0.5,4.1,0.3,0.4,0
158,Gabriel Magalhães,13,Arsenal,25, D(C)  ,22(1),1997,0,0.1,67.4,85.7,0,2.2,0,6.73,2,2,1,0.7,2.5,0,0.2,1.1,0,0.3,0.2,1.1,1.1,1,0.5,3.2,0.3,0.8,0
159,Callum Hudson-Odoi,15,Chelsea,23, M(CLR)  ,10(13),1060,3,1.4,25,86.1,0.7,1.2,0,6.73,2,0,0,1,0,0,0.7,0.3,0.2,0.7,0.6,1,0.3,0.5,0,0.2,0.6,0,0
160,David McGoldrick,163,Sheff Utd,36," AM(CLR),FW  ",28(7),2402,1,0.5,26,74.7,0.1,0.7,0,6.72,8,7,0,2,2.5,2,1.3,0.9,0.5,1.3,2.5,0.9,0.1,1.3,0,0.7,0.5,0.1,0
161,Mason Greenwood,32,Man Utd,22," AM(LR),FW  ",21(10),1826,2,0.5,23,85,0.2,0.8,0.1,6.72,7,2,0,2.2,0.2,1,1.2,0.6,0.1,0.9,1.1,0.4,0.2,0.5,0,0,0.5,0,0
