,player_name,team_number,team_name,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MoM,Rating,sub
7,Aaron Ramsdale,183,Bournemouth,37,3330,0,1,0,0,0,52,0.3,1,6.69,0
8,Mattéo Guendouzi,13,Arsenal,19,1748,0,1,6,0,0.5,88.4,0.5,0,6.69,5
9,Gary Cahill,162,Crystal Palace,25,2168,0,1,1,0,0.8,84.9,3.5,0,6.69,0
0,Vicente Guaita,162,Crystal Palace,35,3150,0,0,1,0,0,49.5,0.5,2,6.69,0
1,Leander Dendoncker,161,Wolves,32,2795,4,0,5,0,0.5,83.3,2.5,1,6.68,6
2,Luka Milivojevic,162,Crystal Palace,28,2514,3,1,12,0,1,82,1.1,2,6.67,3
3,Joelinton,23,Newcastle,32,2699,2,2,7,0,1.3,76.7,4.6,0,6.67,6
4,Mark Noble,29,West Ham,32,2686,4,3,5,0,0.5,82.8,0.5,1,6.67,1
5,Abdoulaye Doucouré,27,Watford,36,3167,4,2,9,0,1.6,78.4,1.5,1,6.67,1
6,Cheikhou Kouyaté,162,Crystal Palace,29,2538,1,1,4,0,0.7,73.9,2.6,0,6.67,6
7,Shane Long,18,Southampton,15,1399,2,2,0,0,1.3,54.1,4.3,0,6.67,11
8,Aaron Mooy,211,Brighton,25,2090,2,2,1,1,1.1,81.4,0.5,4,6.67,6
9,Mat Ryan,211,Brighton,38,3420,0,0,0,0,0,79.2,0.3,0,6.67,0
0,Davinson Sánchez,30,Tottenham,27,2432,0,0,6,0,0.2,85.9,1.8,0,6.66,2
1,Joel Ward,162,Crystal Palace,27,2383,0,0,4,0,0.2,71.2,1.8,0,6.66,2
2,Stuart Armstrong,18,Southampton,19,1716,5,3,4,0,1.5,77,0.5,1,6.66,11
3,Neal Maupay,211,Brighton,30,2770,10,3,3,0,2.6,79.6,0.7,1,6.66,7
4,Adam Masina,27,Watford,20,1819,1,0,3,0,0.6,63.3,2.6,0,6.66,6
5,Gylfi Sigurdsson,31,Everton,28,2595,2,3,3,0,1.3,83.4,0.4,0,6.65,7
6,Pascal Groß,211,Brighton,22,1804,2,4,4,0,1,79.5,0.6,0,6.65,7
7,Bukayo Saka,13,Arsenal,19,1755,1,5,6,0,0.5,81.5,0.3,0,6.65,7
8,Davy Pröpper,211,Brighton,32,2830,1,2,4,0,0.8,84.2,0.8,1,6.65,3
9,Dale Stephens,211,Brighton,28,2529,0,1,8,0,0.6,85.7,0.6,0,6.65,5
0,Erik Pieters,184,Burnley,21,1880,0,4,2,0,0.6,72.1,1.4,0,6.65,3
1,Kenny McLean,168,Norwich,32,2966,1,1,5,0,0.8,79.4,2.6,0,6.64,5
2,Erik Lamela,30,Tottenham,12,1212,2,1,3,0,1.2,83.7,0.2,0,6.64,13
3,Craig Cathcart,27,Watford,28,2490,0,0,7,0,0.1,80.6,2.3,0,6.63,1
4,Ainsley Maitland-Niles,13,Arsenal,15,1383,0,2,4,1,0.2,81.9,0.9,1,6.63,5
5,Kelechi Iheanacho,14,Leicester,12,963,5,3,1,0,1.8,80.9,0.2,0,6.63,8
6,Alex Oxlade Chamberlain,26,Liverpool,17,1493,4,1,1,0,1.3,83.2,0.5,1,6.63,13
7,Tyrone Mings,24,Aston Villa,33,2903,2,2,7,0,0.2,78,2,0,6.63,0
8,Douglas Luiz,24,Aston Villa,28,2608,3,2,8,0,1.1,82.6,0.8,0,6.63,8
9,Rui Patrício,161,Wolves,38,3420,0,0,0,0,0,59.9,0.3,0,6.63,0
0,Will Hughes,27,Watford,27,2263,1,1,9,0,0.9,78.3,0.8,1,6.63,3
1,Issa Diop,29,West Ham,31,2766,3,1,8,0,0.5,78,2.5,0,6.62,1
2,Giovani Lo Celso,30,Tottenham,15,1489,0,2,6,0,0.6,85,0.3,0,6.62,13
3,Alisson,26,Liverpool,29,2545,0,1,0,1,0,84.6,0.2,1,6.62,0
